state,direction,id,wiki_name,official_name,framing
CONFIGURATION,CLIENTBOUND,0x00,Cookie Request,cookie_request,normal
CONFIGURATION,CLIENTBOUND,0x01,Plugin Message (clientbound),custom_payload,normal
CONFIGURATION,CLIENTBOUND,0x02,Disconnect,disconnect,normal
CONFIGURATION,CLIENTBOUND,0x03,Finish Configuration,finish_configuration,normal
CONFIGURATION,CLIENTBOUND,0x04,Keep Alive (clientbound),keep_alive,normal
CONFIGURATION,CLIENTBOUND,0x05,Ping,ping,normal
CONFIGURATION,CLIENTBOUND,0x06,Reset Chat,reset_chat,normal
CONFIGURATION,CLIENTBOUND,0x07,Registry Data,registry_data,normal
CONFIGURATION,CLIENTBOUND,0x08,Remove Resource Pack,resource_pack_pop,normal
CONFIGURATION,CLIENTBOUND,0x09,Add Resource Pack,resource_pack_push,normal
CONFIGURATION,CLIENTBOUND,0x0A,Store Cookie,store_cookie,normal
CONFIGURATION,CLIENTBOUND,0x0B,Transfer,transfer,normal
CONFIGURATION,CLIENTBOUND,0x0C,Feature Flags,update_enabled_features,normal
CONFIGURATION,CLIENTBOUND,0x0D,Update Tags,update_tags,normal
CONFIGURATION,CLIENTBOUND,0x0E,Known Packs (clientbound),select_known_packs,normal
CONFIGURATION,CLIENTBOUND,0x0F,Custom Report Details,custom_report_details,normal
CONFIGURATION,CLIENTBOUND,0x10,Server Links,server_links,normal
CONFIGURATION,CLIENTBOUND,0x11,Clear Dialog,clear_dialog,normal
CONFIGURATION,CLIENTBOUND,0x12,Show Dialog (configuration),show_dialog,normal
CONFIGURATION,CLIENTBOUND,0x13,Code of Conduct,code_of_conduct,normal
CONFIGURATION,SERVERBOUND,0x00,Client Information,client_information,normal
CONFIGURATION,SERVERBOUND,0x01,Cookie Response,cookie_response,normal
CONFIGURATION,SERVERBOUND,0x02,Plugin Message (serverbound),custom_payload,normal
CONFIGURATION,SERVERBOUND,0x03,Acknowledge Finish Configuration,finish_configuration,normal
CONFIGURATION,SERVERBOUND,0x04,Keep Alive (serverbound),keep_alive,normal
CONFIGURATION,SERVERBOUND,0x05,Pong,pong,normal
CONFIGURATION,SERVERBOUND,0x06,Resource Pack Response,resource_pack,normal
CONFIGURATION,SERVERBOUND,0x07,Known Packs (serverbound),select_known_packs,normal
CONFIGURATION,SERVERBOUND,0x08,Custom Click Action,custom_click_action,normal
CONFIGURATION,SERVERBOUND,0x09,Accept Code of Conduct,accept_code_of_conduct,normal
HANDSHAKE,SERVERBOUND,0x00,Handshake,intention,normal
HANDSHAKE,SERVERBOUND,0xFE,Legacy Server List Ping,legacy_server_list_ping,legacy-unframed
LOGIN,CLIENTBOUND,0x00,Disconnect (login),login_disconnect,normal
LOGIN,CLIENTBOUND,0x01,Encryption Request,hello,normal
LOGIN,CLIENTBOUND,0x02,Login Success,login_finished,normal
LOGIN,CLIENTBOUND,0x03,Set Compression,login_compression,normal
LOGIN,CLIENTBOUND,0x04,Login Plugin Request,custom_query,normal
LOGIN,CLIENTBOUND,0x05,Cookie Request,cookie_request,normal
LOGIN,SERVERBOUND,0x00,Login Start,hello,normal
LOGIN,SERVERBOUND,0x01,Encryption Response,key,normal
